Namespace(exp_name='dgcnn_1024_1', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Test 108, loss: 1.488863, test acc: 0.902755, test avg acc: 0.864424
Train 109, loss: 1.460610, train acc: 0.948290, train avg acc: 0.920657
Test 109, loss: 1.506497, test acc: 0.898298, test avg acc: 0.865849
Train 110, loss: 1.461641, train acc: 0.945847, train avg acc: 0.918000
Test 110, loss: 1.488461, test acc: 0.907618, test avg acc: 0.863930
Train 111, loss: 1.459605, train acc: 0.947679, train avg acc: 0.920838
Test 111, loss: 1.482170, test acc: 0.913290, test avg acc: 0.868547
Train 112, loss: 1.461190, train acc: 0.947985, train avg acc: 0.920427
Test 112, loss: 1.477376, test acc: 0.918558, test avg acc: 0.890500
Train 113, loss: 1.454492, train acc: 0.949308, train avg acc: 0.922097
Test 113, loss: 1.494062, test acc: 0.904781, test avg acc: 0.874884
Train 114, loss: 1.456679, train acc: 0.951242, train avg acc: 0.926376
Test 114, loss: 1.496107, test acc: 0.907212, test avg acc: 0.882802
Train 115, loss: 1.457165, train acc: 0.950835, train avg acc: 0.925329
Test 115, loss: 1.492608, test acc: 0.907212, test avg acc: 0.869459
Train 116, loss: 1.452147, train acc: 0.951649, train avg acc: 0.926999
Test 116, loss: 1.489541, test acc: 0.903971, test avg acc: 0.867477
Train 117, loss: 1.453782, train acc: 0.949002, train avg acc: 0.922970
Test 117, loss: 1.509799, test acc: 0.909643, test avg acc: 0.872843
Train 118, loss: 1.448988, train acc: 0.952260, train avg acc: 0.928354
Test 118, loss: 1.508260, test acc: 0.899919, test avg acc: 0.876872
Train 119, loss: 1.447811, train acc: 0.954601, train avg acc: 0.931144
Test 119, loss: 1.489275, test acc: 0.900729, test avg acc: 0.867669
Train 120, loss: 1.446725, train acc: 0.953481, train avg acc: 0.929635
Test 120, loss: 1.474745, test acc: 0.912075, test avg acc: 0.867099
Train 121, loss: 1.442993, train acc: 0.952158, train avg acc: 0.926484
Test 121, loss: 1.481752, test acc: 0.913695, test avg acc: 0.869547
Train 122, loss: 1.445114, train acc: 0.954092, train avg acc: 0.929758
Test 122, loss: 1.477239, test acc: 0.918558, test avg acc: 0.892291
Train 123, loss: 1.439053, train acc: 0.955822, train avg acc: 0.933164
Test 123, loss: 1.485856, test acc: 0.901540, test avg acc: 0.873203
Train 124, loss: 1.441433, train acc: 0.956637, train avg acc: 0.934611
Test 124, loss: 1.484107, test acc: 0.909643, test avg acc: 0.879186
Train 125, loss: 1.439569, train acc: 0.955517, train avg acc: 0.930349
Test 125, loss: 1.488836, test acc: 0.910859, test avg acc: 0.861628
Train 126, loss: 1.438588, train acc: 0.956637, train avg acc: 0.932902
Test 126, loss: 1.508970, test acc: 0.908833, test avg acc: 0.864581
Train 127, loss: 1.437045, train acc: 0.955212, train avg acc: 0.931562
Test 127, loss: 1.473488, test acc: 0.915316, test avg acc: 0.876506
Train 128, loss: 1.437336, train acc: 0.956840, train avg acc: 0.934702
Test 128, loss: 1.479131, test acc: 0.906402, test avg acc: 0.868512
Train 129, loss: 1.432355, train acc: 0.957655, train avg acc: 0.936078
Test 129, loss: 1.477966, test acc: 0.908023, test avg acc: 0.872785
Train 130, loss: 1.430290, train acc: 0.959385, train avg acc: 0.937465
Test 130, loss: 1.459774, test acc: 0.919368, test avg acc: 0.882209
Train 131, loss: 1.432705, train acc: 0.957248, train avg acc: 0.934069
Test 131, loss: 1.472314, test acc: 0.908428, test avg acc: 0.873762
Train 132, loss: 1.432045, train acc: 0.959691, train avg acc: 0.938447
Test 132, loss: 1.476645, test acc: 0.907212, test avg acc: 0.875099
Train 133, loss: 1.431627, train acc: 0.960607, train avg acc: 0.940186
Test 133, loss: 1.456988, test acc: 0.920583, test avg acc: 0.882291
Train 134, loss: 1.429403, train acc: 0.961828, train avg acc: 0.939926
Test 134, loss: 1.494225, test acc: 0.914100, test avg acc: 0.879581
Train 135, loss: 1.430905, train acc: 0.959691, train avg acc: 0.937020
Test 135, loss: 1.478662, test acc: 0.908023, test avg acc: 0.874593
Train 136, loss: 1.428281, train acc: 0.959487, train avg acc: 0.936690
Test 136, loss: 1.467672, test acc: 0.921394, test avg acc: 0.888709
Train 137, loss: 1.416707, train acc: 0.965086, train avg acc: 0.946025
Test 137, loss: 1.489631, test acc: 0.906402, test avg acc: 0.866221
Train 138, loss: 1.423474, train acc: 0.960403, train avg acc: 0.942074
Test 138, loss: 1.502780, test acc: 0.906807, test avg acc: 0.884872
Train 139, loss: 1.413338, train acc: 0.966205, train avg acc: 0.949307
Test 139, loss: 1.509083, test acc: 0.898298, test avg acc: 0.866047
Train 140, loss: 1.415015, train acc: 0.968445, train avg acc: 0.952293
Test 140, loss: 1.477169, test acc: 0.921799, test avg acc: 0.887419
Train 141, loss: 1.416506, train acc: 0.965594, train avg acc: 0.946561
Test 141, loss: 1.496421, test acc: 0.905186, test avg acc: 0.871122
Train 142, loss: 1.411757, train acc: 0.966714, train avg acc: 0.949142
Test 142, loss: 1.488328, test acc: 0.906402, test avg acc: 0.876802
Train 143, loss: 1.413563, train acc: 0.967121, train avg acc: 0.949935
Test 143, loss: 1.490810, test acc: 0.900324, test avg acc: 0.883930
Train 144, loss: 1.417025, train acc: 0.963559, train avg acc: 0.944216
Test 144, loss: 1.471453, test acc: 0.915721, test avg acc: 0.878843
Train 145, loss: 1.418941, train acc: 0.964475, train avg acc: 0.946252
Test 145, loss: 1.478820, test acc: 0.909238, test avg acc: 0.875640
Train 146, loss: 1.410962, train acc: 0.970277, train avg acc: 0.953898
Test 146, loss: 1.476809, test acc: 0.906402, test avg acc: 0.881384
Train 147, loss: 1.403357, train acc: 0.970277, train avg acc: 0.955226
Test 147, loss: 1.481857, test acc: 0.909238, test avg acc: 0.883000
Train 148, loss: 1.409568, train acc: 0.967020, train avg acc: 0.949411
Test 148, loss: 1.463230, test acc: 0.912075, test avg acc: 0.883547
Train 149, loss: 1.403445, train acc: 0.969157, train avg acc: 0.954490
Test 149, loss: 1.461009, test acc: 0.920583, test avg acc: 0.883209
Train 150, loss: 1.407987, train acc: 0.968648, train avg acc: 0.950966
Test 150, loss: 1.447905, test acc: 0.921799, test avg acc: 0.881616
Train 151, loss: 1.406311, train acc: 0.968139, train avg acc: 0.952889
Test 151, loss: 1.451392, test acc: 0.921799, test avg acc: 0.878959
Train 152, loss: 1.405617, train acc: 0.968139, train avg acc: 0.951784
Test 152, loss: 1.473022, test acc: 0.913695, test avg acc: 0.884878
Train 153, loss: 1.398718, train acc: 0.972007, train avg acc: 0.958112
Test 153, loss: 1.477998, test acc: 0.912075, test avg acc: 0.887669
Train 154, loss: 1.397197, train acc: 0.971702, train avg acc: 0.958057
Test 154, loss: 1.464680, test acc: 0.920178, test avg acc: 0.891174
Train 155, loss: 1.394862, train acc: 0.973025, train avg acc: 0.958994
Test 155, loss: 1.480143, test acc: 0.908023, test avg acc: 0.876512
Train 156, loss: 1.390278, train acc: 0.974756, train avg acc: 0.962890
Test 156, loss: 1.487791, test acc: 0.910049, test avg acc: 0.873215
Train 157, loss: 1.387799, train acc: 0.975265, train avg acc: 0.962863
Test 157, loss: 1.461147, test acc: 0.914506, test avg acc: 0.879163
Train 158, loss: 1.393972, train acc: 0.973025, train avg acc: 0.959464
Test 158, loss: 1.485726, test acc: 0.897488, test avg acc: 0.871047
Train 159, loss: 1.388159, train acc: 0.976690, train avg acc: 0.964517
Test 159, loss: 1.466877, test acc: 0.911669, test avg acc: 0.870529
Train 160, loss: 1.388973, train acc: 0.975977, train avg acc: 0.963247
Test 160, loss: 1.484091, test acc: 0.897893, test avg acc: 0.878041
Train 161, loss: 1.385603, train acc: 0.976181, train avg acc: 0.962696
Test 161, loss: 1.464616, test acc: 0.910859, test avg acc: 0.870965
Train 162, loss: 1.384589, train acc: 0.975366, train avg acc: 0.961134
Test 162, loss: 1.466298, test acc: 0.909643, test avg acc: 0.876512
Train 163, loss: 1.383810, train acc: 0.975570, train avg acc: 0.964032
Test 163, loss: 1.459697, test acc: 0.917342, test avg acc: 0.885012
Train 164, loss: 1.384300, train acc: 0.979336, train avg acc: 0.968278
Test 164, loss: 1.474986, test acc: 0.902755, test avg acc: 0.868605
Train 165, loss: 1.384609, train acc: 0.975977, train avg acc: 0.962292
Test 165, loss: 1.483183, test acc: 0.915316, test avg acc: 0.878930
Train 166, loss: 1.377903, train acc: 0.977402, train avg acc: 0.964692
Test 166, loss: 1.460984, test acc: 0.918152, test avg acc: 0.881558
Train 167, loss: 1.379595, train acc: 0.977708, train avg acc: 0.965359
Test 167, loss: 1.460877, test acc: 0.920178, test avg acc: 0.887500
Train 168, loss: 1.377082, train acc: 0.978929, train avg acc: 0.966199
Test 168, loss: 1.471319, test acc: 0.914911, test avg acc: 0.887622
Train 169, loss: 1.375564, train acc: 0.979235, train avg acc: 0.967341
Test 169, loss: 1.463875, test acc: 0.913290, test avg acc: 0.887576
Train 170, loss: 1.372740, train acc: 0.978827, train avg acc: 0.968779
Test 170, loss: 1.445439, test acc: 0.924635, test avg acc: 0.884785
Train 171, loss: 1.375600, train acc: 0.978522, train avg acc: 0.965944
Test 171, loss: 1.456610, test acc: 0.918152, test avg acc: 0.880756
Train 172, loss: 1.371489, train acc: 0.980660, train avg acc: 0.969562
Test 172, loss: 1.450815, test acc: 0.923825, test avg acc: 0.886291
Train 173, loss: 1.370809, train acc: 0.980660, train avg acc: 0.971131
Test 173, loss: 1.475633, test acc: 0.906402, test avg acc: 0.887448
Train 174, loss: 1.370147, train acc: 0.981474, train avg acc: 0.972090
Test 174, loss: 1.462119, test acc: 0.914100, test avg acc: 0.876971
Train 175, loss: 1.368231, train acc: 0.980965, train avg acc: 0.969886
Test 175, loss: 1.449390, test acc: 0.925041, test avg acc: 0.893116
Train 176, loss: 1.367906, train acc: 0.982594, train avg acc: 0.973732
Test 176, loss: 1.455090, test acc: 0.918963, test avg acc: 0.888552
Train 177, loss: 1.362411, train acc: 0.984222, train avg acc: 0.975280
Test 177, loss: 1.463245, test acc: 0.902350, test avg acc: 0.879756
Train 178, loss: 1.361407, train acc: 0.986360, train avg acc: 0.979495
Test 178, loss: 1.445820, test acc: 0.925041, test avg acc: 0.899622
Train 179, loss: 1.362229, train acc: 0.984324, train avg acc: 0.977359
Test 179, loss: 1.451756, test acc: 0.914911, test avg acc: 0.887907
Train 180, loss: 1.358709, train acc: 0.985851, train avg acc: 0.978714
Test 180, loss: 1.449182, test acc: 0.916126, test avg acc: 0.883122
Train 181, loss: 1.358839, train acc: 0.985037, train avg acc: 0.976770
Test 181, loss: 1.456962, test acc: 0.916937, test avg acc: 0.890581
Train 182, loss: 1.356404, train acc: 0.987174, train avg acc: 0.979539
Test 182, loss: 1.443804, test acc: 0.921394, test avg acc: 0.888581
Train 183, loss: 1.356653, train acc: 0.986156, train avg acc: 0.979813
Test 183, loss: 1.460704, test acc: 0.911669, test avg acc: 0.878500
Train 184, loss: 1.357587, train acc: 0.985647, train avg acc: 0.977448
Test 184, loss: 1.441511, test acc: 0.921394, test avg acc: 0.890122
Train 185, loss: 1.350137, train acc: 0.989821, train avg acc: 0.984303
